id;nome;descricao;created_at;updated_at;deleted_at
1;seriously;../fake-data/blob/hipster.txt;2024-05-28T16:06:34;2024-05-28T20:17:42;2024-05-28T20:44:37
2;per vain consequently;../fake-data/blob/hipster.txt;2024-05-29T06:40:06;2024-05-28T17:03:46;2024-05-29T07:30:47
3;pale;../fake-data/blob/hipster.txt;2024-05-29T00:03:15;2024-05-29T12:30:58;2024-05-28T18:47:14
4;testimonial;../fake-data/blob/hipster.txt;2024-05-28T16:17:53;2024-05-29T03:29:30;2024-05-28T20:26:39
5;composed tan as;../fake-data/blob/hipster.txt;2024-05-29T02:14:08;2024-05-28T18:23:57;2024-05-29T07:32:37
6;off hm;../fake-data/blob/hipster.txt;2024-05-28T21:58:27;2024-05-29T11:13:34;2024-05-29T01:25:52
7;grown;../fake-data/blob/hipster.txt;2024-05-28T20:02:38;2024-05-29T01:13:08;2024-05-29T09:50:04
8;verbally;../fake-data/blob/hipster.txt;2024-05-29T00:16:03;2024-05-29T07:03:59;2024-05-29T06:49:24
9;um bland leaver;../fake-data/blob/hipster.txt;2024-05-28T23:29:00;2024-05-29T07:21:19;2024-05-28T22:07:12
10;flint roughly;../fake-data/blob/hipster.txt;2024-05-29T01:19:55;2024-05-29T14:04:28;2024-05-28T15:15:37
