id;nome;descricao;created_at;updated_at;deleted_at
1;consequently;../fake-data/blob/hipster.txt;2024-05-28T17:26:31;2024-05-28T21:04:39;2024-05-29T07:56:24
2;endpoint progenitor twitch;../fake-data/blob/hipster.txt;2024-05-29T05:19:33;2024-05-29T08:30:42;2024-05-29T08:40:34
3;gee for after;../fake-data/blob/hipster.txt;2024-05-28T18:59:59;2024-05-28T22:15:45;2024-05-29T06:01:35
4;yet less teem;../fake-data/blob/hipster.txt;2024-05-29T08:54:22;2024-05-28T21:45:15;2024-05-29T09:24:05
5;provided;../fake-data/blob/hipster.txt;2024-05-29T11:29:38;2024-05-29T10:53:55;2024-05-28T21:27:32
6;from windy shot;../fake-data/blob/hipster.txt;2024-05-29T04:12:12;2024-05-29T04:42:26;2024-05-29T01:03:19
7;than vaguely;../fake-data/blob/hipster.txt;2024-05-29T01:05:28;2024-05-29T00:38:12;2024-05-29T09:59:44
8;nocturnal pish;../fake-data/blob/hipster.txt;2024-05-29T05:41:21;2024-05-28T17:56:39;2024-05-28T15:12:35
9;bad out;../fake-data/blob/hipster.txt;2024-05-28T20:21:48;2024-05-28T21:54:11;2024-05-29T05:26:38
10;boastfully ref;../fake-data/blob/hipster.txt;2024-05-29T02:59:16;2024-05-29T11:35:32;2024-05-29T13:43:27
