id;numero;data;created_at;updated_at;deleted_at
1;7192;2024-05-29;2024-05-28T15:06:00;2024-05-28T22:36:04;2024-05-29T03:35:47
2;19409;2024-05-29;2024-05-29T02:07:56;2024-05-28T20:14:11;2024-05-29T07:40:49
3;7604;2024-05-29;2024-05-28T15:07:04;2024-05-29T03:23:27;2024-05-28T18:43:51
4;7385;2024-05-29;2024-05-29T09:56:48;2024-05-28T23:04:14;2024-05-29T09:53:44
5;463;2024-05-28;2024-05-28T18:10:20;2024-05-29T06:04:46;2024-05-29T02:55:55
6;23069;2024-05-29;2024-05-29T12:51:38;2024-05-29T08:14:28;2024-05-29T13:35:26
7;5600;2024-05-29;2024-05-29T08:56:53;2024-05-29T13:14:28;2024-05-28T18:31:19
8;2916;2024-05-29;2024-05-29T12:57:19;2024-05-29T11:37:29;2024-05-29T12:40:16
9;26578;2024-05-29;2024-05-29T13:42:53;2024-05-29T01:29:49;2024-05-28T19:16:54
10;691;2024-05-29;2024-05-28T23:51:15;2024-05-29T02:47:19;2024-05-28T17:26:24
