id;nome;sigla;created_at;updated_at;deleted_at
1;fatally ulcerate;amusing yuck;2024-05-29T13:08:38;2024-05-28T16:33:06;2024-05-29T12:42:50
2;hence instead;wet-bar glamorous under;2024-05-29T02:52:06;2024-05-28T18:45:38;2024-05-29T02:02:01
3;yippee rightfully;concerning mmm keystone;2024-05-28T15:25:02;2024-05-28T19:25:39;2024-05-29T00:09:42
4;baseline;bleakly suppress;2024-05-29T08:16:24;2024-05-28T20:34:05;2024-05-29T03:57:47
5;commander;lopsided republican pish;2024-05-29T06:23:32;2024-05-29T08:33:47;2024-05-29T12:28:52
6;pfft into embellished;pish;2024-05-28T19:09:38;2024-05-29T00:59:04;2024-05-29T13:04:48
7;externalize mindless;tightly;2024-05-29T00:44:11;2024-05-28T14:44:45;2024-05-28T18:43:20
8;which apropos meanwhile;mmm comradeship;2024-05-29T03:31:48;2024-05-28T22:59:28;2024-05-28T20:18:55
9;overlooked hence;lemonade;2024-05-29T11:13:07;2024-05-29T02:48:27;2024-05-28T14:54:47
10;in zigzag aside;tensely;2024-05-28T14:30:21;2024-05-29T03:20:00;2024-05-28T17:35:13
